"FMAID","Preferred Label","Parent FMAID"
7213,"Right ovary",7209
7212,"Left testis",7210
7214,"Left ovary",7209
7210,"Testis",55662
7218,"Right auricle",77110
87335,"Wall of apical segmental bronchial tree",87334
45716,"Striated muscle tissue of prostate",14069
25585,"Subdivision of skeletal system of upper limb",25562
82893,"Branch of left tenth intercostal nerve to left rectus abdominis",82884
53104,"Right masseteric nerve",53103
31946,"Surface of left lamina of axis",31940
319464,"Deep distal tendon of left incisivus labii inferioris",319460
319460,"Deep distal tendon of incisivus labii inferioris",319452
319468,"Proximal tendon of right zygomaticus major",319466
319466,"Proximal tendon of zygomaticus major",318756
319462,"Deep distal tendon of right incisivus labii inferioris",319460
78985,"Trunk of branch of medial branch of superficial fibular nerve",78974
84527,"Parenchyma of superior part of superior bronchopulmonary subsegment",84524
72330,"Set of costotransverse joints",293848
57365,"Cavity of crown of left upper second molar tooth",57360
57073,"Lateral ligament of left temporomandibular joint",57071
44544,"Left second plantar metatarsal vein",44538
46370,"Second internal intercostal muscle",9757
316129,"Vasculature of endosteum of right trapezium",316127
316125,"Vasculature of endosteum of left pisiform",316121
316127,"Vasculature of endosteum of trapezium",316091
316121,"Vasculature of endosteum of pisiform",316091
316123,"Vasculature of endosteum of right pisiform",316121
65178,"Belly of medial head of left triceps brachii",38698
12169,"Skin of lower trunk",23093
21721,"Lumen of inferior minor calyx",21718
30868,"Surface of left lamina of fifth lumbar vertebra",30856
308685,"Thoracodorsal nerve component of trunk of right eighth cervical nerve",308683
308687,"Thoracodorsal nerve component of trunk of left eighth cervical nerve",308683
308683,"Thoracodorsal nerve component of trunk of eighth cervical nerve",308633
325902,"Anatomical potential space",67552
37898,"Bony part of superior surface of central part of body of fourth lumbar vertebra",37894
69671,"Lateral part of trunk of plantar digital artery of right second toe",69670
26378,"Right transverse process of fifth cervical vertebra",26372
263782,"Subcutaneous adipose tissue of left labium majus",74315
263780,"Subcutaneous adipose tissue of right labium majus",74315
263788,"Cardiac muscle tissue of pectinate muscle of left atrium",84441
263786,"Cardiac muscle tissue of pectinate muscle of right atrium",84441
57081,"Right parietal tuber",57080
75950,"Trunk of posterior ciliary artery",75916
17505,"Epithelium of region of large intestine",69065
27827,"Synovial fluid of left C6-C7 vertebral arch joint",27814
278277,"Set of paracolic lymphatic vessels of ascending colon",278223
